COURSE NUMBER,COURSE NAME,CRN,INSTRUCTOR,DAYS,TIME,BUILDING,ROOM,SEATS AVAILABLE
FANR9000,Doctoral Research,21966,Michael Chamberlain,No days set,0001-2359,No Classroom Required,NCRR,98
FANR9000,Doctoral Research,21967,Richard Chandler,No days set,0001-2359,No Classroom Required,NCRR,98
FANR9000,Doctoral Research,21968,Chris Cieszewski,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9000,Doctoral Research,21975,Puneet Dwivedi,No days set,0001-2359,No Classroom Required,NCRR,94
FANR9000,Doctoral Research,21976,Kamal Gandhi,No days set,0001-2359,No Classroom Required,NCRR,97
FANR9000,Doctoral Research,21977,Gary Green,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9000,Doctoral Research,21982,Jeffrey Cymerman,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9000,Doctoral Research,21983,Sonia Hernandez,No days set,0001-2359,No Classroom Required,NCRR,96
FANR9000,Doctoral Research,21984,Brian Irwin,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9000,Doctoral Research,21989,Charles Jackson,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9000,Doctoral Research,21992,Elizabeth King,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9000,Doctoral Research,21993,John Maerz,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9000,Doctoral Research,21994,Daniel Markewitz,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9000,Doctoral Research,22002,Clinton Moore,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9000,Doctoral Research,22005,Nathan Nibbelink,No days set,0001-2359,No Classroom Required,NCRR,97
FANR9000,Doctoral Research,22015,Jacek Siry,No days set,0001-2359,No Classroom Required,NCRR,98
FANR9000,Doctoral Research,22019,Chung-Jui Tsai,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9000,Doctoral Research,22020,Tracey Tuberville,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9000,Doctoral Research,22022,Susan Wilde,No days set,0001-2359,No Classroom Required,NCRR,97
FANR9000,Doctoral Research,22023,Michael Yabsley,No days set,0001-2359,No Classroom Required,NCRR,98
FANR9000,Doctoral Research,31839,James Martin,No days set,0001-2359,No Classroom Required,NCRR,97
FANR9000,Doctoral Research,39807,Kyle Woosnam,No days set,0001-2359,No Classroom Required,NCRR,97
FANR9000,Doctoral Research,39964,Douglas Aubrey,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9000,Doctoral Research,45707,Guha Dharmarajan,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9000,Doctoral Research,45711,Yanshu Li,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9000,Doctoral Research,45715,Gino D'Angelo,No days set,0001-2359,No Classroom Required,NCRR,97
FANR9000,Doctoral Research,48611,Jesse Abrams,No days set,0001-2359,No Classroom Required,NCRR,97
FANR9000,Doctoral Research,48612,Daniel Johnson,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9000,Doctoral Research,55343,Martin Hamel,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9000,Doctoral Research,56223,Peter Hazelton,No days set,0001-2359,No Classroom Required,NCRR,98
FANR9000,Doctoral Research,56225,Alicia Peduzzi,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9000,Doctoral Research,56228,Elizabeth Pienaar,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9000,Doctoral Research,56635,Michel Kohl,No days set,0001-2359,No Classroom Required,NCRR,98
FANR9000,Doctoral Research,56915,Joseph Dahlen,No days set,0001-2359,No Classroom Required,NCRR,98
FANR9000,Doctoral Research,58644,Rebecca Abney,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9000,Doctoral Research,62179,Clark Rushing,No days set,0001-2359,No Classroom Required,NCRR,95
FANR9000,Doctoral Research,62195,Bertram Boley,No days set,0001-2359,No Classroom Required,NCRR,98
FANR9000,Doctoral Research,63591,Joseph Conrad,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9000,Doctoral Research,65084,Michael Bolding,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9000,Doctoral Research,65630,Xiaoyu Xu,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9000,Doctoral Research,66397,Adam Fox,No days set,0001-2359,No Classroom Required,NCRR,98
FANR9000,Doctoral Research,66675,Jason Gordon,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9000,Doctoral Research,66845,Caterina Villari,No days set,0001-2359,No Classroom Required,NCRR,98
FANR9000,Doctoral Research,66909,Kelly Robinson,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9000,Doctoral Research,67511,David Clabo,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9000,Doctoral Research,67754,Helen Bothwell,No days set,0001-2359,No Classroom Required,NCRR,98
FANR9000,Doctoral Research,67755,Bruno Kanieski da Silva,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9000,Doctoral Research,67756,Stephen Kinane,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9000,Doctoral Research,67820,Michael Mengak,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9000,Doctoral Research,69554,Travis DeVault,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9000,Doctoral Research,69555,Olin Rhodes,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9200,Applied Research in Forestry and Natural Resources,68923,Bruno Kanieski da Silva,No days set,0001-2359,No Classroom Required,NCRR,9
FANR9200,Applied Research in Forestry and Natural Resources,69458,Olin Rhodes,No days set,0001-2359,No Classroom Required,NCRR,9
FANR9200,Applied Research in Forestry and Natural Resources,69462,Roger Lowe,No days set,0001-2359,No Classroom Required,NCRR,9
FANR9200,Applied Research in Forestry and Natural Resources,69634,Charles Bargeron,No days set,0001-2359,No Classroom Required,NCRR,9
FANR9200,Applied Research in Forestry and Natural Resources,69734,Helen Bothwell,No days set,0001-2359,No Classroom Required,NCRR,10
