COURSE NUMBER,COURSE NAME,CRN,INSTRUCTOR,DAYS,TIME,BUILDING,ROOM,SEATS AVAILABLE
SPAN2001,Intermediate Spanish I,66085,Eliot Westdorp,TR,1555-1710,Gilbert Hall,320,1
SPAN2001,Intermediate Spanish I,66212,Fuad Elhage,MWF,0910-1000,Gilbert Hall,320,2
SPAN2001,Intermediate Spanish I,69199,Sandra Padilla Diaz,TR,1110-1225,Park Hall,121,0
SPAN2001,Intermediate Spanish I,69277,Brenda Ross,TR,0935-1050,"Military,Army Rotc",1,0
SPAN2001,Intermediate Spanish I,69281,Marcela Garza,TR,1245-1400,Gilbert Hall,112,0
SPAN2001,Intermediate Spanish I,69426,Olga Amigo-Horcajo,MWF,1130-1220,Park Hall,110,2
SPAN2001H,Intermediate Spanish I (Honors),64482,David Latimer,MWF,1020-1110,Moore College,202,0
SPAN2002,Intermediate Spanish II,26449,James Johnson,MWF,0800-0850,New College,118,0
SPAN2002,Intermediate Spanish II,26453,James Johnson,MWF,0910-1000,Journalism,505,0
SPAN2002,Intermediate Spanish II,26454,Ximena Luna,MWF,1020-1110,Sanford Hall,314,-1
SPAN2002,Intermediate Spanish II,26461,Ximena Luna,MWF,1130-1220,Peabody Hall,219,0
SPAN2002,Intermediate Spanish II,26464,Elena Sarmiento,MWF,1350-1440,Gilbert Hall,360,1
SPAN2002,Intermediate Spanish II,26474,Denise Casnettie,TR,0800-0915,Gilbert Hall,112,2
SPAN2002,Intermediate Spanish II,46326,Sophie Durand,TR,0935-1050,Baldwin Hall,104,0
SPAN2002,Intermediate Spanish II,46328,Denise Casnettie,TR,0935-1050,Psychology,304,0
SPAN2002,Intermediate Spanish II,50540,Allonah Ezro-Christy,TR,1110-1225,Zell B Miller Learning Center,275,0
SPAN2002,Intermediate Spanish II,51301,Elena Sarmiento,TR,1245-1400,Park Hall,121,0
SPAN2002,Intermediate Spanish II,62974,Allonah Ezro-Christy,TR,1420-1535,Psychology,304,0
SPAN2002,Intermediate Spanish II,65123,Fernan Cerron-Palomino,TR,1555-1710,Gilbert Hall,116,0
SPAN2002H,Intermediate Spanish II (Honors),64483,David Latimer,MWF,1130-1220,Moore College,202,9
SPAN2030,Practical Spanish Conversation,36767,Rocio Jimenez Segura,No days set,0001-2359,No Classroom Required,NCRR,24
SPAN2500,Spanish for Reading Knowledge,26478,David Latimer,MWF,1350-1440,Journalism,402,17
SPAN2550,"Latino Literature, Language, and Culture",25191,Alvaro Ley Garrido,MWF,0910-1000,Journalism,502,2
SPAN2550,"Latino Literature, Language, and Culture",49294,Leonard Ward,TR,1110-1225,Journalism,513,3
SPAN3010,Spanish Cultural Dialogues,25215,Fernan Gomez Monedero,MWF,0800-0850,Gilbert Hall,230,2
SPAN3010,Spanish Cultural Dialogues,26516,Milvet Alonso,MWF,0910-1000,Gilbert Hall,251,0
SPAN3010,Spanish Cultural Dialogues,26524,Milvet Alonso,MWF,1020-1110,Gilbert Hall,251,2
SPAN3010,Spanish Cultural Dialogues,38463,Nuno Castellanos,MWF,1130-1220,Gilbert Hall,360,0
SPAN3010,Spanish Cultural Dialogues,60937,Fuad Elhage,TR,1110-1225,Gilbert Hall,0350K,5
SPAN3010,Spanish Cultural Dialogues,60967,Maria Mizzi Terol,MWF,1240-1330,Gilbert Hall,0350K,3
SPAN3010,Spanish Cultural Dialogues,64492,Maria Mizzi Terol,MWF,1350-1440,Gilbert Hall,0350K,5
SPAN3010,Spanish Cultural Dialogues,65639,Bethany Bateman,MWF,1500-1550,Gilbert Hall,251,0
SPAN3010,Spanish Cultural Dialogues,67295,Milvet Alonso,TR,0935-1050,Gilbert Hall,251,0
SPAN3010,Spanish Cultural Dialogues,67296,Milvet Alonso,TR,1110-1225,Gilbert Hall,251,2
SPAN3010,Spanish Cultural Dialogues,67297,Sophie Durand,TR,1245-1400,Gilbert Hall,251,5
SPAN3010,Spanish Cultural Dialogues,67298,Denise Casnettie,TR,1245-1400,Gilbert Hall,35,1
SPAN3010,Spanish Cultural Dialogues,67299,Leonard Ward,TR,1420-1535,Gilbert Hall,230,0
SPAN3010,Spanish Cultural Dialogues,67300,Aitor Ezquerra Pineda,TR,1420-1535,Gilbert Hall,35,0
SPAN3010,Spanish Cultural Dialogues,68886,Nuno Castellanos,MWF,1020-1110,Gilbert Hall,360,2
SPAN3010H,Spanish Cultural Dialogues (Honors),67301,Alicia Arribas Arcos,MWF,1130-1220,Moore College,309,0
SPAN3011,Heritage Speakers of Spanish I,38217,Jorge Garcia-granados,MWF,0910-1000,Gilbert Hall,230,1
SPAN3011,Heritage Speakers of Spanish I,60968,Jorge Garcia-granados,MWF,1240-1330,Gilbert Hall,360,0
SPAN3020,Writing Critically in Spanish,26573,Ruben Maillo-Pozo,MWF,0910-1000,Denmark Hall,103,0
SPAN3020,Writing Critically in Spanish,26577,Maria Mizzi Terol,MWF,1020-1110,Gilbert Hall,0350K,0
SPAN3020,Writing Critically in Spanish,32713,Maria Mizzi Terol,MWF,1130-1220,Gilbert Hall,0350K,2
SPAN3020,Writing Critically in Spanish,37102,Elena Sarmiento,MWF,1130-1220,Gilbert Hall,251,1
SPAN3020,Writing Critically in Spanish,37420,Ruben Maillo-Pozo,MWF,1240-1330,Gilbert Hall,230,0
SPAN3020,Writing Critically in Spanish,49261,Nuno Castellanos,MWF,1350-1440,Gilbert Hall,230,0
SPAN3020,Writing Critically in Spanish,49262,Nuno Castellanos,MWF,1500-1550,Gilbert Hall,230,9
SPAN3020,Writing Critically in Spanish,54967,Elena Sarmiento,TR,0935-1050,Peabody Hall,219,0
SPAN3020,Writing Critically in Spanish,64339,Brenda Ross,TR,1245-1400,Park Hall,122,-2
SPAN3020,Writing Critically in Spanish,64494,Gary Baker,No days set,0001-2359,No Classroom Required,NCRR,14
SPAN3020H,Writing Critically in Spanish (Honors),45113,Fernan Cerron-Palomino,MWF,0910-1000,Moore College,309,2
SPAN3030,Texts in Global Contexts,25255,Chason Fulford,MWF,1350-1440,Journalism,513,3
SPAN3030,Texts in Global Contexts,25262,Mark Anderson,MWF,1130-1220,Gilbert Hall,303,6
SPAN3030,Texts in Global Contexts,43028,Erin Bolivar,TR,0935-1050,Gilbert Hall,303,0
SPAN3030,Texts in Global Contexts,49259,Fernan Gomez Monedero,TR,1110-1225,Gilbert Hall,115,0
SPAN3030,Texts in Global Contexts,57102,Luis Correa-Diaz,TR,1420-1535,Gilbert Hall,112,7
SPAN3030,Texts in Global Contexts,64336,Gary Baker,No days set,0001-2359,No Classroom Required,NCRR,9
SPAN3030H,Texts in Global Contexts (Honors),64497,Ruben Maillo-Pozo,MWF,1020-1110,Moore College,309,0
SPAN3050,Introduction to Spanish Linguistics,25303,Sarah Blackwell,MWF,1130-1220,Psychology,304,0
SPAN3050,Introduction to Spanish Linguistics,36316,Timothy Gupton,TR,1245-1400,Gilbert Hall,116,-1
SPAN3050,Introduction to Spanish Linguistics,67411,Timothy Gupton,TR,1420-1535,Gilbert Hall,116,6
SPAN4003,Medical Spanish,49241,Fuad Elhage,MWF,1020-1110,Gilbert Hall,320,14
SPAN4004,"Introduction to Medical Interpreting, Ethics, and Intercultural Communication",61485,Leonard Ward,TR,1245-1400,Psychology,111,8
SPAN4004S,"Introduction to Medical Interpreting, Ethics, and Intercultural Communication",53046,Leonard Ward,TR,1245-1400,Psychology,111,1
SPAN4030,Latinx in the United States,57099,Sharina Maillo-Pozo,TR,0935-1050,Gilbert Hall,116,1
SPAN4030,Latinx in the United States,67400,Sharina Maillo-Pozo,TR,1110-1225,Gilbert Hall,116,0
SPAN4040,Literary Adventures from Spain,36398,Ruben Maillo-Pozo,MWF,1130-1220,Gilbert Hall,320,0
SPAN4050,Exploring Modern Spain,64340,Melanie Simpson,TR,1245-1400,Gilbert Hall,0350K,0
SPAN4050,Exploring Modern Spain,68431,Gary Baker,No days set,0001-2359,No Classroom Required,NCRR,7
SPAN4060,Cultures in Contact After 1492,25323,Alberto Villate Isaza,TR,0935-1050,Gilbert Hall,0350K,7
SPAN4070,Latin American Voices of Change,25328,Angel Lucero,TR,1420-1535,Fine Arts,350,2
SPAN4080,Discovering Cultural Formation,45107,Mark Anderson,MWF,0910-1000,Gilbert Hall,303,18
SPAN4080,Discovering Cultural Formation,60974,Melanie Simpson,TR,1110-1225,Gilbert Hall,320,8
SPAN4080,Discovering Cultural Formation,64341,Gary Baker,No days set,0001-2359,No Classroom Required,NCRR,12
SPAN4081,Spanish Film,64342,Gary Baker,No days set,0001-2359,No Classroom Required,NCRR,7
SPAN4082,Latin American Film,60978,Betina Kaplan,TR,1110-1225,Gilbert Hall,118,1
SPAN4082,Latin American Film,67005,Betina Kaplan,TR,1420-1535,Gilbert Hall,118,5
SPAN4085,Studies in Spanish and Latin American Electronic Literature and Cyberculture,67412,Nora Benedict Frye,TR,1245-1400,Gilbert Hall,303,20
SPAN4090S,Practicum in Service Learning,36404,Kerry Steinberg,W,1240-1330,Gilbert Hall,115,1
SPAN4092,Archival and Special Collections Studies in Spanish,67413,Nora Benedict Frye,TR,1555-1710,Gilbert Hall,303,12
SPAN4100,Spanish Topics Across the Disciplines,66161,Maria Acosta Alzuru,TR,1555-1710,Journalism,402,2
SPAN4120,Exploring Cultures in Spanish,64343,Gary Baker,No days set,0001-2359,No Classroom Required,NCRR,14
SPAN4150,Business Spanish,25366,Fuad Elhage,MWF,1130-1220,Gilbert Hall,113,12
SPAN4150,Business Spanish,64344,Gary Baker,No days set,0001-2359,No Classroom Required,NCRR,14
SPAN4651,Advanced Spanish Grammar,60980,Pilar Chamorro,TR,1420-1535,Gilbert Hall,0350K,6
SPAN4651,Advanced Spanish Grammar,69018,Gary Baker,No days set,0001-2359,No Classroom Required,NCRR,0
SPAN4990R,Undergraduate Research Thesis (or Final Project),69382,Leonard Ward,No days set,0001-2359,No Classroom Required,NCRR,0
SPAN6092,Archival and Special Collections Studies in Spanish,67414,Nora Benedict Frye,TR,1555-1710,Gilbert Hall,303,4
SPAN6450,Variation and Sociolinguistics in Spanish,60982,Lewis Howe,TR,1245-1400,Gilbert Hall,115,11
SPAN6950,Spanish Semantics and Pragmatics,60987,Sarah Blackwell,TR,1420-1535,Gilbert Hall,115,18
SPAN8100,Poetry and Poetics,67405,Luis Correa-Diaz,T,1110-1330,Sanford Hall,105,5
SPAN8500,"Issues of Race, Class, and Gender",67446,Lesley Feracho,W,1500-1750,Gilbert Hall,0350K,16
SPAN8750,Topics in Advanced Spanish Syntax,60988,Timothy Gupton,TR,0935-1050,Gilbert Hall,309,14
SPTM3850,Introduction to Sports Reporting and Writing,63614,David Suggs,MW,1500-1700,Journalism,243,5
SPTM3850,Introduction to Sports Reporting and Writing,63615,Darryl Ledbetter,MW,1500-1700,Journalism,242,8
SPTM3850,Introduction to Sports Reporting and Writing,63616,David Suggs,MW,0910-1110,Fine Arts,310,4
SPTM4800,Multiplatform Storytelling for Sports,67512,Vicki Michaelis,TR,1420-1535,Journalism,241,5
SPTM5750,Social and Digital Media Production for Sports,63618,Carlo Finlay,TR,1555-1710,Journalism,242,2
SPTM5820,Sports Broadcast and Production,63619,David Lawson,F,1240-1550,Journalism,120,8
SPTM5820,Sports Broadcast and Production,68260,David Lawson,R,1420-1710,Journalism,120,8
SPTM5880,Topics in Sports Media,65004,Carlo Finlay,TR,1110-1225,Journalism,412,7
SPTM5900,Sports Media Capstone,69358,David Lawson,No days set,0001-2359,No Classroom Required,NCRR,6
STAT1501,Introduction to Data Science,64772,MUDIYANSELAG DASSANAYAKE,MWF,1020-1110,Caldwell Hall,202,4
STAT2000,Introductory Statistics,57291,Joseph Powell,T,1555-1710,Caldwell Hall,305,0
STAT2000,Introductory Statistics,57291,Joseph Powell,MWF,1130-1220,Brooks Hall,145,0
STAT2000,Introductory Statistics,57296,Nicholas Toebben,MWF,1350-1440,Brooks Hall,145,0
STAT2000,Introductory Statistics,57296,Nicholas Toebben,T,1555-1710,Caldwell Hall,306,0
STAT2000,Introductory Statistics,57324,Joseph Powell,TR,1245-1400,Brooks Hall,145,0
STAT2000,Introductory Statistics,57324,Joseph Powell,W,1610-1700,Caldwell Hall,305,0
STAT2000,Introductory Statistics,57327,Joseph Powell,TR,1245-1400,Brooks Hall,145,1
STAT2000,Introductory Statistics,57327,Joseph Powell,W,1720-1810,Caldwell Hall,305,1
STAT2000,Introductory Statistics,57329,Joseph Powell,W,1830-1920,Caldwell Hall,306,0
STAT2000,Introductory Statistics,57329,Joseph Powell,TR,1245-1400,Brooks Hall,145,0
STAT2000,Introductory Statistics,57330,Joseph Powell,W,0910-1000,Caldwell Hall,206,2
STAT2000,Introductory Statistics,57330,Joseph Powell,TR,1245-1400,Brooks Hall,145,2
STAT2000,Introductory Statistics,57332,Joseph Powell,W,1020-1110,Caldwell Hall,206,2
STAT2000,Introductory Statistics,57332,Joseph Powell,TR,1245-1400,Brooks Hall,145,2
STAT2000,Introductory Statistics,57333,Joseph Powell,TR,1245-1400,Brooks Hall,145,0
STAT2000,Introductory Statistics,57333,Joseph Powell,W,1130-1220,Caldwell Hall,306,0
STAT2000,Introductory Statistics,57337,Sarangan Balasubramaniam,W,1020-1110,Caldwell Hall,305,0
STAT2000,Introductory Statistics,57337,Sarangan Balasubramaniam,TR,1420-1535,Brooks Hall,145,0
STAT2000,Introductory Statistics,57345,Linruo Guo,T,1555-1710,Caldwell Hall,206,0
STAT2000,Introductory Statistics,57345,Linruo Guo,TR,0935-1050,Brooks Hall,145,0
STAT2000,Introductory Statistics,57347,Joseph Powell,T,1730-1845,Caldwell Hall,305,1
STAT2000,Introductory Statistics,57347,Joseph Powell,TR,1110-1225,Brooks Hall,145,1
STAT2000,Introductory Statistics,64852,Joseph Powell,MWF,1130-1220,Brooks Hall,145,3
STAT2000,Introductory Statistics,64852,Joseph Powell,W,0910-1000,Caldwell Hall,305,3
STAT2000,Introductory Statistics,64855,Joseph Powell,W,1240-1330,Caldwell Hall,306,0
STAT2000,Introductory Statistics,64855,Joseph Powell,MWF,1130-1220,Brooks Hall,145,0
STAT2000,Introductory Statistics,64856,Joseph Powell,W,1350-1440,Caldwell Hall,206,0
STAT2000,Introductory Statistics,64856,Joseph Powell,MWF,1130-1220,Brooks Hall,145,0
STAT2000,Introductory Statistics,64857,Joseph Powell,W,1500-1550,Caldwell Hall,206,1
STAT2000,Introductory Statistics,64857,Joseph Powell,MWF,1130-1220,Brooks Hall,145,1
STAT2000,Introductory Statistics,64858,Joseph Powell,W,1610-1700,Caldwell Hall,206,6
STAT2000,Introductory Statistics,64858,Joseph Powell,MWF,1130-1220,Brooks Hall,145,6
STAT2000,Introductory Statistics,64861,Nicholas Toebben,W,1130-1220,Caldwell Hall,305,0
STAT2000,Introductory Statistics,64861,Nicholas Toebben,MWF,1350-1440,Brooks Hall,145,0
STAT2000,Introductory Statistics,64863,Nicholas Toebben,W,1500-1550,Caldwell Hall,306,0
STAT2000,Introductory Statistics,64863,Nicholas Toebben,MWF,1350-1440,Brooks Hall,145,0
STAT2000,Introductory Statistics,64864,Nicholas Toebben,MWF,1350-1440,Brooks Hall,145,0
STAT2000,Introductory Statistics,64864,Nicholas Toebben,W,1610-1700,Caldwell Hall,306,0
STAT2000,Introductory Statistics,64870,Nicholas Toebben,MWF,1350-1440,Brooks Hall,145,1
STAT2000,Introductory Statistics,64870,Nicholas Toebben,W,1720-1810,Caldwell Hall,306,1
STAT2000,Introductory Statistics,64873,Nicholas Toebben,MWF,1350-1440,Brooks Hall,145,0
STAT2000,Introductory Statistics,64873,Nicholas Toebben,W,1830-1920,Caldwell Hall,305,0
STAT2000,Introductory Statistics,64881,Sarangan Balasubramaniam,TR,1420-1535,Brooks Hall,145,0
STAT2000,Introductory Statistics,64881,Sarangan Balasubramaniam,W,1240-1330,Caldwell Hall,206,0
STAT2000,Introductory Statistics,64882,Sarangan Balasubramaniam,W,1350-1440,Caldwell Hall,306,0
STAT2000,Introductory Statistics,64882,Sarangan Balasubramaniam,TR,1420-1535,Brooks Hall,145,0
STAT2000,Introductory Statistics,64884,Sarangan Balasubramaniam,W,1500-1550,Caldwell Hall,305,0
STAT2000,Introductory Statistics,64884,Sarangan Balasubramaniam,TR,1420-1535,Brooks Hall,145,0
STAT2000,Introductory Statistics,64885,Sarangan Balasubramaniam,TR,1420-1535,Brooks Hall,145,2
STAT2000,Introductory Statistics,64885,Sarangan Balasubramaniam,W,1720-1810,Caldwell Hall,206,2
STAT2000,Introductory Statistics,64886,Sarangan Balasubramaniam,W,1830-1920,Caldwell Hall,206,0
STAT2000,Introductory Statistics,64886,Sarangan Balasubramaniam,TR,1420-1535,Brooks Hall,145,0
STAT2000,Introductory Statistics,64904,Joseph Powell,TR,1110-1225,Brooks Hall,145,15
STAT2000,Introductory Statistics,64904,Joseph Powell,T,1730-1845,Caldwell Hall,206,15
STAT2000,Introductory Statistics,64905,Joseph Powell,T,1730-1845,Caldwell Hall,306,13
STAT2000,Introductory Statistics,64905,Joseph Powell,TR,1110-1225,Brooks Hall,145,13
STAT2000,Introductory Statistics,64906,Joseph Powell,T,1420-1535,Caldwell Hall,305,0
STAT2000,Introductory Statistics,64906,Joseph Powell,TR,1110-1225,Brooks Hall,145,0
STAT2000,Introductory Statistics,64907,Joseph Powell,T,1420-1535,Caldwell Hall,206,0
STAT2000,Introductory Statistics,64907,Joseph Powell,TR,1110-1225,Brooks Hall,145,0
STAT2000,Introductory Statistics,64909,Joseph Powell,T,1420-1535,Caldwell Hall,306,8
STAT2000,Introductory Statistics,64909,Joseph Powell,TR,1110-1225,Brooks Hall,145,8
STAT2000,Introductory Statistics,64911,Linruo Guo,W,0910-1000,Caldwell Hall,306,1
STAT2000,Introductory Statistics,64911,Linruo Guo,TR,0935-1050,Brooks Hall,145,1
STAT2000,Introductory Statistics,64914,Linruo Guo,TR,0935-1050,Brooks Hall,145,0
STAT2000,Introductory Statistics,64914,Linruo Guo,W,1020-1110,Caldwell Hall,306,0
STAT2000,Introductory Statistics,64916,Linruo Guo,W,1130-1220,Caldwell Hall,206,0
STAT2000,Introductory Statistics,64916,Linruo Guo,TR,0935-1050,Brooks Hall,145,0
STAT2000,Introductory Statistics,64917,Linruo Guo,W,1240-1330,Caldwell Hall,305,0
STAT2000,Introductory Statistics,64917,Linruo Guo,TR,0935-1050,Brooks Hall,145,0
STAT2000,Introductory Statistics,64918,Linruo Guo,TR,0935-1050,Brooks Hall,145,1
STAT2000,Introductory Statistics,64918,Linruo Guo,W,1350-1440,Caldwell Hall,305,1
STAT2010,Statistical Methods for Data Scientists,53072,Mickey Dunlap,MWF,0910-1000,Caldwell Hall,202,19
STAT2100H,Introduction to Statistics and Computing (Honors),57195,Joseph Powell,TR,0935-1050,Caldwell Hall,203,16
STAT2100H,Introduction to Statistics and Computing (Honors),57195,Joseph Powell,F,0910-1000,Caldwell Hall,206,16
STAT2360,Programming and Data Literacy Using R,53103,Monsur Chowdhury,TR,1110-1225,Caldwell Hall,202,1
STAT2360L,Programming and Data Literacy Using R,57197,Monsur Chowdhury,F,1350-1440,Caldwell Hall,202,1
STAT3110,Introduction to Statistics for Life Sciences,64774,Mark Werner,TR,0935-1050,Geography Geology,0200D,0
STAT3120,Introduction to Probability for Life Sciences,48561,Linruo Guo,MWF,1240-1330,Caldwell Hall,203,1
STAT3120,Introduction to Probability for Life Sciences,64775,Linruo Guo,MWF,1350-1440,Caldwell Hall,203,3
STAT4070,Probability and Statistics for Secondary Teachers,67946,Catherine Case,T,1730-2015,Caldwell Hall,203,6
STAT4110H,Honors Applied Statistics,60692,Catherine Case,TR,1245-1400,Caldwell Hall,203,16
STAT4210,Statistical Methods,26332,Sarangan Balasubramaniam,MWF,1130-1220,Caldwell Hall,203,0
STAT4210,Statistical Methods,40314,Mickey Dunlap,TR,0935-1050,Caldwell Hall,204,0
STAT4210,Statistical Methods,64778,Linruo Guo,TR,1110-1225,Caldwell Hall,204,0
STAT4210,Statistical Methods,64779,Isaac Ocloo,TR,1245-1400,Caldwell Hall,206,0
STAT4210,Statistical Methods,64780,Mickey Dunlap,TR,1420-1535,Caldwell Hall,203,0
STAT4220,Applied Experimental Designs,26042,Qian Xiao,MWF,1350-1440,Caldwell Hall,105,0
STAT4230,Applied Regression Analysis,26498,Ting Zhang,TR,1245-1400,Caldwell Hall,305,10
STAT4230,Applied Regression Analysis,67959,Isaac Ocloo,MWF,1020-1110,Caldwell Hall,105,0
STAT4250,Applied Multivariate Analysis and Statistical Learning,67960,Ruizhi Zhang,TR,1110-1225,Caldwell Hall,206,0
STAT4270,Network Data Analysis and Graphical Models,64790,Pengsheng Ji,TR,1245-1400,Caldwell Hall,107,9
STAT4280,Applied Time Series Analysis,68013,Shuyang Bai,MWF,1130-1220,Caldwell Hall,105,1
STAT4290,Nonparametric Methods,68017,Yuan Ke,TR,1245-1400,Caldwell Hall,202,2
STAT4365,Modern Statistical Programming,57227,Paul Schliekelman,TR,1110-1225,Caldwell Hall,305,1
STAT4365,Modern Statistical Programming,68022,MUDIYANSELAG DASSANAYAKE,TR,0935-1050,Caldwell Hall,202,-1
STAT4520,Mathematical Statistics II,57216,Lynne Billard,TR,0935-1050,Caldwell Hall,107,0
STAT4530,Statistical Inference for Data Scientists,60709,Gauri Datta,TR,1420-1535,Caldwell Hall,202,3
STAT4950,Undergraduate Directed Study in Statistics,58696,Abhyuday Mandal,No days set,0001-2359,No Classroom Required,NCRR,2
STAT4950,Undergraduate Directed Study in Statistics,66626,Abhyuday Mandal,No days set,0001-2359,No Classroom Required,NCRR,0
STAT4960R,Faculty-Mentored Undergraduate Research I,66532,Abhyuday Mandal,No days set,0001-2359,No Classroom Required,NCRR,0
STAT5020W,Statistical Capstone Course II,51399,Peggy Seymour,MWF,1500-1550,Caldwell Hall,204,5
STAT5020W,Statistical Capstone Course II,64798,Daniel Hall,MWF,1240-1330,Caldwell Hall,302,18
STAT6070,Probability and Statistics for Secondary Teachers,67947,Catherine Case,T,1730-2015,Caldwell Hall,203,5
STAT6220,Introduction to Statistical Methods II,45093,Paul Schliekelman,TR,0935-1050,Caldwell Hall,305,20
STAT6230,Applied Regression Analysis,36782,Ting Zhang,TR,1245-1400,Caldwell Hall,305,8
STAT6250,Applied Multivariate Analysis and Statistical Learning,67961,Ruizhi Zhang,TR,1110-1225,Caldwell Hall,206,-1
STAT6270,Network Data Analysis and Graphical Models,64791,Pengsheng Ji,TR,1245-1400,Caldwell Hall,107,13
STAT6280,Applied Time Series Analysis,68016,Shuyang Bai,MWF,1130-1220,Caldwell Hall,105,-2
STAT6290,Nonparametric Methods,68019,Yuan Ke,TR,1245-1400,Caldwell Hall,202,0
STAT6315,Statistical Methods for Researchers,26010,Mickey Dunlap,MWF,1240-1330,Caldwell Hall,202,2
STAT6315,Statistical Methods for Researchers,26010,Mickey Dunlap,W,1130-1220,Caldwell Hall,202,2
STAT6315,Statistical Methods for Researchers,57995,Mickey Dunlap,MWF,1240-1330,Nespal,601,2
STAT6315,Statistical Methods for Researchers,57995,Mickey Dunlap,W,1130-1220,Nespal,601,2
STAT6315,Statistical Methods for Researchers,57996,Mickey Dunlap,W,1130-1220,Griffin Slc,107,3
STAT6315,Statistical Methods for Researchers,57996,Mickey Dunlap,MWF,1240-1330,Griffin Slc,107,3
STAT6365,Modern Statistical Programming,57228,Paul Schliekelman,TR,1110-1225,Caldwell Hall,305,6
STAT6430,Design and Analysis of Experiments,26406,Abhyuday Mandal,TR,0935-1050,Caldwell Hall,102,22
STAT6520,Mathematical Statistics II,26398,Lynne Billard,TR,1110-1225,Caldwell Hall,107,15
STAT6530,Statistical Inference for Data Scientists,60711,Gauri Datta,TR,1420-1535,Caldwell Hall,202,2
STAT6820,Statistical Inference,25677,Yang Yang,TR,1420-1535,Caldwell Hall,107,22
STAT6821,Supplemental Study in Statistical Inference,48835,Yang Yang,F,1020-1110,Caldwell Hall,203,20
STAT7000,Master's Research,28530,Liang Liu,No days set,0001-2359,No Classroom Required,NCRR,0
STAT7000,Master's Research,29278,Liang Liu,No days set,0001-2359,No Classroom Required,NCRR,0
STAT7000,Master's Research,29280,Yang Yang,No days set,0001-2359,No Classroom Required,NCRR,0
STAT7000,Master's Research,29281,Paul Schliekelman,No days set,0001-2359,No Classroom Required,NCRR,0
STAT7000,Master's Research,29282,Liang Liu,No days set,0001-2359,No Classroom Required,NCRR,0
STAT7000,Master's Research,43531,Abhyuday Mandal,No days set,0001-2359,No Classroom Required,NCRR,0
STAT7000,Master's Research,68814,Abhyuday Mandal,No days set,0001-2359,No Classroom Required,NCRR,0
STAT7300,Master's Thesis,33190,Shuyang Bai,No days set,0001-2359,No Classroom Required,NCRR,1
STAT7300,Master's Thesis,37495,Shuyang Bai,No days set,0001-2359,No Classroom Required,NCRR,0
STAT7300,Master's Thesis,37622,Liang Liu,No days set,0001-2359,No Classroom Required,NCRR,1
STAT7300,Master's Thesis,38081,Abhyuday Mandal,No days set,0001-2359,No Classroom Required,NCRR,1
STAT7300,Master's Thesis,38190,Yang Yang,No days set,0001-2359,No Classroom Required,NCRR,0
STAT7300,Master's Thesis,41957,Paul Schliekelman,No days set,0001-2359,No Classroom Required,NCRR,0
STAT7700,Internship in Statistics,59004,Liang Liu,No days set,0001-2359,No Classroom Required,NCRR,0
STAT8000,Introductory Statistical Collaboration,37460,Jaxk Reeves,MWF,1350-1440,Brooks Hall,520,15
STAT8040,Environmental Statistics,68058,Aditya Mishra,MWF,1240-1330,Geography Geology,0200C,15
STAT8040,Environmental Statistics,69607,Aditya Mishra,MWF,1240-1330,Skidaway Mar Ext,Not set,22
STAT8070,Statistical Computing II,68061,Ping Ma,TR,1245-1400,Brooks Hall,520,20
STAT8260,Theory of Linear Models,45097,Ting Zhang,TR,1110-1225,Caldwell Hall,105,17
STAT8261,Supplemental Study in the Theory of Linear Models,48836,Ting Zhang,F,1130-1220,Brooks Hall,520,18
STAT8270,Spatial Statistics,68062,Wenzuan Zhong,TR,0935-1050,Brooks Hall,520,16
STAT8350,Bayesian Statistical Methodology with Applications,53232,Mandev Gill,TR,1110-1225,Brooks Hall,520,15
STAT8530,Advanced Statistical Inference I,64801,Gauri Datta,TR,1245-1400,Caldwell Hall,105,17
STAT8900,Special Topics in Statistics,48717,Ping Ma,TR,1420-1535,Brooks Hall,520,15
STAT8910,Statistical Seminar,45098,Abhyuday Mandal,R,1555-1710,Caldwell Hall,204,26
STAT9000,Doctoral Research,28095,Peggy Seymour,No days set,0001-2359,No Classroom Required,NCRR,0
STAT9000,Doctoral Research,28097,Liang Liu,No days set,0001-2359,No Classroom Required,NCRR,0
STAT9000,Doctoral Research,28098,Yuan Ke,No days set,0001-2359,No Classroom Required,NCRR,0
STAT9000,Doctoral Research,29645,Yuan Ke,No days set,0001-2359,No Classroom Required,NCRR,0
STAT9000,Doctoral Research,29646,Yuan Ke,No days set,0001-2359,No Classroom Required,NCRR,0
STAT9000,Doctoral Research,29647,Shuyang Bai,No days set,0001-2359,No Classroom Required,NCRR,0
STAT9000,Doctoral Research,29648,Liang Liu,No days set,0001-2359,No Classroom Required,NCRR,0
STAT9000,Doctoral Research,29658,Abhyuday Mandal,No days set,0001-2359,No Classroom Required,NCRR,0
STAT9000,Doctoral Research,29659,Ting Zhang,No days set,0001-2359,No Classroom Required,NCRR,0
STAT9000,Doctoral Research,29660,Yuan Ke,No days set,0001-2359,No Classroom Required,NCRR,1
STAT9000,Doctoral Research,29662,Shuyang Bai,No days set,0001-2359,No Classroom Required,NCRR,1
STAT9000,Doctoral Research,29663,Ping Ma,No days set,0001-2359,No Classroom Required,NCRR,0
STAT9000,Doctoral Research,29664,Wenzuan Zhong,No days set,0001-2359,No Classroom Required,NCRR,0
STAT9000,Doctoral Research,29667,Wenzuan Zhong,No days set,0001-2359,No Classroom Required,NCRR,0
